iter	Passed	Remaining
863	19423	3057
864	19450	3035
865	19476	3013
866	19506	2992
867	19541	2971
868	19565	2949
869	19593	2927
870	19613	2904
871	19638	2882
872	19661	2860
873	19687	2838
874	19714	2816
875	19743	2794
876	19770	2772
877	19804	2751
878	19825	2729
879	19847	2706
880	19867	2683
881	19886	2660
882	19906	2637
883	19928	2615
884	19950	2592
885	19970	2569
886	19989	2546
887	20009	2523
888	20031	2501
889	20052	2478
890	20071	2455
891	20091	2432
892	20112	2409
893	20136	2387
894	20155	2364
895	20174	2341
896	20196	2319
897	20216	2296
898	20235	2273
899	20254	2250
900	20273	2227
901	20293	2204
902	20314	2182
903	20337	2159
904	20361	2137
905	20392	2115
906	20420	2093
907	20446	2071
908	20474	2049
909	20498	2027
910	20518	2004
911	20541	1982
912	20562	1959
913	20584	1936
914	20606	1914
915	20635	1892
916	20665	1870
917	20701	1849
918	20729	1827
919	20767	1805
920	20791	1783
921	20819	1761
922	20844	1738
923	20863	1716
924	20882	1693
925	20904	1670
926	20929	1648
927	20949	1625
928	20971	1602
929	20992	1580
930	21009	1557
931	21031	1534
932	21054	1511
933	21071	1489
934	21089	1466
935	21113	1443
936	21142	1421
937	21173	1399
938	21197	1377
939	21217	1354
940	21235	1331
941	21253	1308
942	21272	1285
943	21290	1263
944	21309	1240
945	21327	1217
946	21346	1194
947	21369	1172
948	21396	1149
949	21420	1127
950	21449	1105
951	21478	1082
952	21503	1060
953	21522	1037
954	21542	1015
955	21561	992
956	21583	969
957	21613	947
958	21640	925
959	21659	902
960	21677	879
961	21697	857
962	21718	834
963	21746	812
964	21779	789
965	21823	768
966	21848	745
967	21873	723
968	21904	700
969	21944	678
970	21986	656
971	22007	633
972	22030	611
973	22062	588
974	22087	566
975	22110	543
976	22132	521
977	22155	498
978	22172	475
979	22190	452
980	22209	430
981	22227	407
982	22246	384
983	22266	362
984	22294	339
985	22318	316
986	22344	294
987	22369	271
988	22392	249
989	22419	226
990	22459	203
991	22492	181
992	22522	158
993	22552	136
994	22578	113
995	22598	90
996	22619	68
997	22638	45
998	22666	22
999	22690	0
